"sex" "earnings" "weight" "height"
"f" 1100 122 64
"f" 3200 185 69
"f" 1700 95 59
"f" 210 125 62
"m" 319 180 75
"f" 1 110 62
"f" 1700 123 63
"f" 3000 150 65
"m" 1500 135 70
"f" 2400 170 68
"f" 1000 154 65
"m" 5000 150 69
"m" 5000 168 72
"f" 2000 150 64
"f" 3000 108 63
"f" 2200 180 73
"m" 2700 200 75
"f" 400 210 65
"f" 1750 160 66
"f" 1650 112 66
"f" 2800 190 64
"f" 5200 140 66
"f" 1500 108 64
"f" 1900 140 63
"m" 2700 170 73
"m" 1500 171 72
"m" 1500 195 72
"f" 1450 150 64
"f" 1 153 63
"f" 2400 106 64
"m" 1800 145 68
"f" 400 118 62
"f" 70 98 60
"f" 2400 220 65
"m" 2700 215 76
"m" 40000 185 72
"f" 2200 145 62
"f" 3000 140 62
"m" 3500 205 71
"m" 2000 195 74
"f" 3200 138 65
"f" 600 160 63
"f" 1200 150 67
"f" 1000 145 63
"f" 100 126 65
"f" 1200 136 64
"f" 1600 140 65
"f" 2500 140 63
"f" 2500 135 70
"m" 3200 180 68
"m" 3500 165 67
"f" 600 125 65
"m" 8000 165 69
"f" 2000 145 68
"f" 100 187 66
"m" 2800 165 71
"m" 2600 125 64
"f" 1800 112 62
"f" 200 200 65
"m" 2000 195 69
"f" 600 221 66
"m" 2500 210 67
"m" 1200 180 73
"m" 1200 165 76
"m" 3000 175 70
"f" 400 130 63
"f" 2600 115 63
"m" 2300 164 70
"m" 2100 175 71
"f" 2500 135 65
"m" 1800 157 70
"f" 400 150 63
"f" 2390 116 64
"f" 3500 123 64
"m" 2600 140 67
"m" 2500 172 66
"f" 2350 118 68
"f" 1200 135 65
"f" 1500 140 67
"m" 300 210 73
"f" 600 200 64
"m" 1400 160 71
"f" 1500 123 63
"m" 117500 180 71
"m" 100 170 73
"f" 1000 140 65
"m" 4500 120 66
"f" 1500 120 66
"f" 2000 140 59
"m" 3500 165 70
"m" 4000 152 72
"f" 3500 135 64
"f" 5000 170 66
"m" 10000 205 70
"m" 3500 145 69
"f" 2400 175 68
"m" 3500 268 74
"m" 3800 230 73
"m" 3000 160 67
"f" 500 136 64
"m" 14800 160 67
"m" 3000 165 70
"f" 650 120 64
"f" 300 95 62
"m" 2300 230 69
"m" 4000 155 68
"m" 3000 180 72
"f" 1400 210 63
"f" 2600 120 64
"f" 800 195 71
"f" 2400 123 64
"m" 512 140 66
"f" 1000 110 61
"f" 1200 145 68
"m" 5000 180 68
"f" 2300 125 64
"m" 4000 130 66
"f" 600 124 62
"f" 500 160 65
"m" 11000 156 66
"m" 4100 145 72
"f" 2300 130 63
"m" 2100 165 70
"f" 400 150 62
"m" 2500 280 71
"m" 3000 170 70
"f" 1400 159 64
"f" 600 115 63
"f" 1400 144 65
"m" 4300 175 71
"f" 2500 128 62
"m" 4000 195 73
"m" 6500 220 68
"m" 1600 210 76
"f" 800 120 66
"m" 4500 140 68
"f" 800 180 61
"m" 1200 130 66
"f" 800 132 63
"f" 1600 105 63
"m" 600 170 74
"m" 1900 180 70
"f" 2100 155 68
"f" 4300 131 70
"m" 3500 190 69
"m" 800 175 70
"f" 2100 125 63
"f" 580 135 65
"m" 1700 185 69
"m" 2400 140 68
"f" 500 140 62
"f" 1100 150 66
"m" 1000 225 65
"m" 4000 185 70
"m" 4000 170 70
"f" 2400 165 66
"m" 2400 160 68
"m" 2000 120 68
"m" 6000 195 70
"f" 1100 155 65
"f" 500 115 64
"f" 2700 135 65
"m" 8900 241 77
"m" 4000 175 70
"f" 100 130 64
"f" 1200 184 64
"f" 2200 125 63
"f" 4000 180 58
"f" 4000 150 62
"f" 3500 113 64
"f" 700 119 64
"f" 1400 118 62
"f" 1500 150 64
"f" 600 150 66
"f" 1100 223 69
"f" 1000 132 64
"m" 2000 193 71
"f" 700 155 62
"m" 3800 185 68
"m" 2900 175 68
"f" 2000 122 62
"f" 800 160 63
"m" 3600 175 69
"f" 150 228 67
"f" 4200 135 64
"m" 2500 165 70
"m" 1300 140 69
"m" 3000 145 69
"f" 3100 200 60
"f" 1500 149 66
"m" 5000 170 67
"m" 500 140 66
"f" 60 150 70
"f" 1400 150 64
"f" 4000 105 60
"m" 2400 170 68
"m" 2200 180 73
"m" 2000 215 72
"f" 2011 145 64
"m" 1200 135 67
"f" 4100 140 67
"m" 1300 155 71
"m" 6000 170 73
"m" 2400 155 70
"m" 3800 165 70
"f" 300 128 71
"f" 1300 110 66
"m" 500 160 75
"f" 2000 92 60
"m" 2200 230 72
"m" 2800 230 75
"f" 2200 110 60
"m" 3000 186 73
"f" 3000 210 65
"m" 3000 140 67
"f" 3200 130 61
"f" 2600 135 69
"f" 2200 144 64
"m" 2500 150 70
"f" 1300 130 62
"f" 1000 180 64
"f" 1200 120 68
"f" 700 118 64
"m" 3600 210 73
"m" 2900 175 69
"f" 800 133 68
"m" 300 125 71
"f" 2000 205 66
"m" 3300 173 66
"f" 1500 210 68
"m" 1600 235 70
"f" 500 148 62
"f" 800 142 66
"f" 3200 122 63
"m" 1450 175 75
"f" 1300 125 67
"f" 700 160 63
"f" 5000 126 65
"f" 1200 185 69
"m" 1900 209 71
"f" 900 110 62
"f" 2000 130 65
"m" 5500 170 72
"f" 1000 120 65
"f" 1300 113 63
"f" 2000 110 64
"m" 3000 185 72
"f" 1200 110 64
"f" 2600 125 70
"f" 1250 115 65
"f" 800 130 64
"f" 1500 120 64
"m" 6500 207 67
"m" 2500 175 73
"m" 800 185 73
"m" 1500 110 65
"f" 1200 160 64
"f" 3500 140 67
"m" 4000 162 67
"m" 2900 145 74
"f" 1500 175 63
"m" 2000 250 74
"m" 300 205 74
"f" 100 120 63
"f" 800 140 62
"f" 500 103 62
"f" 2500 160 67
"m" 2000 163 69
"m" 3000 150 73
"f" 1200 200 63
"f" 1000 210 67
"m" 1600 140 69
"m" 4500 185 71
"m" 4000 170 72
"m" 2500 125 70
"f" 1900 145 64
"f" 1760 128 64
"m" 700 155 68
"m" 3000 207 74
"f" 1800 125 62
"f" 2500 135 65
"f" 600 120 60
"m" 7000 170 69
"f" 1500 115 61
"f" 2500 135 65
"f" 3500 120 66
"m" 1800 155 70
"m" 2800 165 72
"f" 1500 135 64
"m" 2200 172 71
"m" 3500 190 73
"m" 3500 150 68
"f" 1640 115 64
"m" 2200 135 66
"f" 3000 128 67
"f" 1700 135 64
"f" 2500 147 64
"f" 1000 138 62
"m" 4000 180 69
"f" 1250 125 63
"m" 3500 195 72
"m" 10500 202 75
"m" 10000 170 70
"m" 2100 158 69
"f" 1000 200 64
"m" 3300 222 72
"m" 2600 149 69
"f" 6000 136 63
"m" 1800 235 71
"f" 1500 105 59
"m" 500 170 68
"m" 6000 270 77
"f" 1200 150 68
"m" 2800 140 70
"f" 200 103 63
"m" 2000 190 73
"m" 2800 145 66
"m" 1000 212 72
"m" 3100 161 72
"f" 1700 172 69
"f" 1600 220 67
"f" 3500 170 66
"f" 300 111 67
"f" 1600 150 68
"f" 3500 120 65
"f" 2700 140 62
"m" 2500 155 69
"m" 4000 145 70
"f" 4500 151 66
"m" 1400 185 66
"f" 2500 200 66
"m" 4000 230 72
"m" 3400 187 69
"m" 4000 205 66
"m" 3500 165 69
"f" 1200 104 60
"f" 2300 180 62
"f" 200 150 67
"m" 2000 175 67
"f" 1000 240 68
"f" 6000 160 66
"m" 1200 170 74
"f" 2500 157 65
"f" 2200 180 63
"m" 800 165 68
"f" 200 124 66
"f" 1860 122 65
"f" 2000 120 62
"m" 10000 200 73
"f" 5000 135 62
"m" 2700 170 70
"f" 100 100 58
"m" 1800 145 68
"f" 1700 140 67
"f" 1000 180 64
"m" 1400 208 70
"m" 720 200 72
"f" 3300 112 63
"m" 2300 180 66
"f" 1000 138 65
"m" 2200 124 61
"f" 1300 110 61
"f" 3300 150 67
"m" 3600 250 73
"f" 1000 185 71
"f" 600 145 64
"f" 1200 165 67
"f" 1000 190 62
"f" 2100 131 67
"m" 2600 210 69
"f" 2200 170 66
"f" 2300 155 66
"m" 2000 150 66
"f" 1000 130 66
"f" 1500 137 64
"m" 700 190 72
"f" 1500 195 64
"f" 2600 160 65
"m" 1000 150 72
"m" 300 185 71
"f" 2700 135 64
"f" 1 125 66
"f" 2800 112 64
"f" 1500 123 67
"m" 5500 178 75
"f" 2000 125 66
"f" 850 125 67
"m" 3000 175 71
"f" 2000 135 68
"m" 2200 151 70
"m" 2500 145 67
"m" 300 160 71
"f" 1600 137 63
"f" 1000 148 61
"f" 1500 162 65
"m" 2800 170 67
"m" 3150 153 65
"m" 9500 168 66
"m" 3800 145 67
"m" 3000 199 74
"m" 3590 225 74
"f" 1200 104 66
"m" 1 165 72
"f" 1000 115 69
"f" 4500 150 66
"m" 4000 185 74
"m" 2150 180 72
"m" 1400 132 66
"m" 3800 175 67
"f" 100 130 65
"m" 1400 240 66
"f" 1500 130 65
"f" 2400 145 68
"f" 450 130 64
"f" 1800 127 64
"f" 1400 100 63
"f" 1000 160 69
"f" 950 150 67
"f" 1100 140 63
"m" 1700 140 67
"f" 600 130 60
"f" 250 140 62
"m" 4000 163 72
"m" 2500 165 67
"f" 2800 170 66
"f" 3300 136 66
"f" 400 149 60
"m" 410 130 65
"f" 2500 135 69
"m" 3200 205 72
"f" 1300 140 64
"m" 800 150 64
"f" 1700 125 64
"f" 1500 137 67
"m" 1200 165 73
"m" 700 295 74
"f" 120 130 65
"m" 1400 165 63
"f" 1700 115 63
"m" 3000 150 66
"m" 2500 260 70
"f" 2200 185 66
"f" 1500 130 63
"m" 2700 210 73
"f" 2000 135 63
"f" 900 160 69
"m" 1700 168 73
"f" 180 160 68
"f" 1800 145 64
"f" 2500 120 63
"m" 2000 220 70
"f" 7500 115 64
"f" 350 170 66
"f" 3600 130 61
"m" 3000 210 72
"f" 2500 145 65
"f" 100 200 64
"m" 3500 195 74
"m" 900 160 67
"m" 3500 184 70
"f" 1100 150 66
"m" 1200 180 71
"m" 3000 170 71
"m" 1900 155 71
"m" 900 205 74
"m" 3000 225 75
"m" 900 150 72
"f" 1500 145 66
"f" 800 135 65
"f" 1000 129 66
"m" 3300 160 72
"f" 1200 140 60
"f" 1800 136 64
"f" 3000 193 65
"f" 1250 198 65
"f" 1000 145 62
"m" 850 212 68
"m" 2100 175 73
"f" 2100 153 64
"f" 2100 160 68
"f" 500 160 66
"f" 2200 153 71
"m" 3000 155 73
"f" 12300 140 61
"f" 800 190 63
"f" 200 145 64
"f" 760 195 67
"f" 1000 138 63
"m" 3500 244 73
"f" 1500 158 66
"f" 400 155 70
"m" 1600 165 68
"f" 20 128 67
"m" 2300 195 74
"f" 1600 123 64
"f" 600 200 60
"f" 60 125 59
"m" 2800 201 75
"f" 400 160 66
"m" 1500 129 64
"m" 1500 172 71
"f" 2500 123 63
"f" 1500 117 67
"m" 4000 180 69
"m" 3000 255 70
"f" 500 195 66
"m" 3500 200 74
"f" 1600 200 65
"f" 2800 128 64
"m" 2000 206 68
"m" 2100 140 66
"m" 1700 210 69
"f" 2400 115 60
"f" 2500 110 61
"m" 4000 162 75
"f" 800 120 64
"f" 1900 175 63
"f" 4500 138 67
"f" 2400 142 63
"f" 500 100 67
"m" 3300 160 66
"f" 2400 125 65
"f" 600 135 63
"f" 9000 129 66
"f" 5700 170 64
"m" 1380 195 71
"m" 3000 280 71
"m" 1500 155 72
"f" 1500 115 60
"m" 3100 170 70
"m" 3300 180 74
"m" 3000 175 68
"m" 1200 218 74
"m" 500 150 75
"m" 2100 171 68
"f" 2800 140 63
"m" 1200 210 72
"f" 1900 170 64
"f" 600 200 63
"f" 530 230 66
"f" 1500 87 61
"m" 1700 215 73
"f" 470 165 66
"f" 950 150 62
"m" 170 150 65
"f" 540 141 62
"m" 1000 160 68
"f" 2500 99 59
"f" 3500 157 68
"f" 2800 130 63
"f" 4200 100 63
"m" 4500 170 68
"f" 5500 121 64
"f" 3600 135 70
"m" 2500 155 70
"m" 1900 220 72
"m" 3800 165 69
"f" 1500 120 63
"f" 450 114 58
"f" 9600 115 63
"f" 1100 115 63
"m" 900 312 73
"f" 500 127 69
"m" 5000 160 70
"f" 600 185 65
"m" 10000 180 72
"f" 1650 130 62
"m" 3200 280 72
"m" 3000 230 73
"f" 1000 150 68
"f" 1500 125 66
"f" 650 129 60
"f" 2600 124 60
"f" 1700 140 65
"f" 2200 150 63
"f" 1000 145 64
"m" 5000 165 71
"m" 2000 162 67
"f" 40 160 63
"f" 1600 125 65
"f" 1000 160 66
"f" 1400 115 63
"f" 500 112 65
"m" 4000 210 74
"f" 500 170 67
"f" 2500 185 68
"f" 1200 150 65
"f" 5800 137 64
"f" 1800 128 68
"m" 100 147 65
"m" 2100 265 72
"m" 1100 158 66
"f" 1300 130 64
"f" 2000 110 60
"m" 2500 220 72
"f" 60 130 64
"m" 2500 190 67
"m" 3600 140 68
"f" 1500 175 64
"f" 350 185 66
"f" 1900 120 65
"m" 6200 170 70
"m" 2500 135 70
"m" 5000 180 66
"m" 4000 140 66
"m" 2600 190 74
"f" 2200 120 62
"f" 2100 164 66
"f" 610 198 62
"f" 3000 145 65
"f" 600 129 63
"m" 2700 173 71
"f" 400 160 66
"f" 441 165 62
"f" 500 125 63
"m" 4500 175 67
"f" 1800 130 61
"f" 600 125 66
"m" 1400 200 72
"f" 3500 125 69
"f" 1500 120 64
"f" 1200 126 63
"f" 100 175 60
"m" 3200 195 70
"m" 150 185 73
"f" 300 150 65
"f" 3500 135 64
"m" 7000 175 72
"f" 2100 140 67
"m" 5000 145 69
"m" 1500 175 71
"f" 900 150 66
"f" 1000 140 63
"m" 3000 175 71
"m" 1600 185 72
"m" 2000 135 68
"m" 10000 185 72
"f" 1000 133 66
"m" 3500 200 66
"f" 700 135 65
"m" 800 180 71
"m" 1100 270 74
"m" 2500 217 70
"f" 2500 130 64
"m" 3000 175 69
"f" 4800 105 63
"f" 1700 145 68
"m" 2600 167 73
"f" 1000 185 63
"m" 6000 180 71
"f" 2200 115 65
"f" 620 145 64
"f" 2400 132 65
"m" 2000 143 71
"f" 700 150 70
"f" 3000 275 68
"f" 2300 130 66
"f" 2000 130 64
"f" 300 170 66
"m" 3000 140 70
"f" 1200 130 64
"m" 4000 190 71
"f" 1500 150 64
"f" 3600 153 63
"f" 1000 145 66
"f" 1300 120 68
"f" 1000 128 62
"m" 3000 175 69
"m" 2300 150 64
"m" 2000 180 70
"f" 1900 130 65
"m" 2000 132 61
"m" 2800 180 64
"f" 1300 119 65
"m" 1200 185 64
"m" 2000 140 69
"m" 2500 190 74
"f" 2500 165 68
"f" 1800 132 67
"f" 600 170 62
"m" 1600 160 72
"m" 4500 175 73
"m" 2500 172 70
"f" 1200 145 64
"f" 200 160 68
"f" 1000 110 63
"m" 1400 185 71
"f" 1500 200 64
"f" 1000 140 60
"f" 120 157 66
"f" 1500 113 59
"f" 1000 150 63
"m" 200 140 66
"f" 1000 145 64
"f" 150 108 66
"m" 1800 145 66
"m" 2800 150 72
"f" 1000 180 74
"f" 300 118 65
"m" 1200 240 71
"f" 1900 158 68
"m" 3600 184 70
"f" 700 180 64
"f" 3500 85 59
"m" 4000 168 68
"m" 1500 130 68
"f" 800 130 69
"f" 2500 190 69
"m" 2800 214 75
"m" 2200 180 69
"m" 2150 210 72
"f" 300 160 68
"m" 2300 190 72
"m" 1800 197 72
"m" 2000 156 67
"f" 1600 110 63
"m" 1500 181 69
"f" 5300 118 63
"m" 2600 162 72
"f" 400 110 65
"m" 1000 200 73
"m" 4300 230 69
"m" 1700 180 69
"f" 400 230 61
"m" 5000 195 73
"f" 1 123 64
"f" 5500 137 67
"f" 2800 145 63
"f" 500 200 62
"f" 1800 130 65
"m" 2100 175 72
"f" 1200 115 67
"f" 3300 164 65
"m" 5000 175 72
"f" 600 231 65
"f" 1600 140 64
"m" 3500 150 68
"f" 2500 260 68
"m" 2000 210 76
"f" 1800 118 63
"m" 3400 225 74
"m" 2500 155 68
"m" 2000 200 72
"m" 3300 170 68
"f" 400 158 65
"f" 2000 130 60
"m" 4000 200 72
"f" 1400 132 64
"f" 1200 170 68
"f" 2500 105 61
"f" 7000 138 67
"f" 3800 140 67
"f" 1400 125 63
"f" 1500 100 60
"m" 1700 215 74
"m" 6000 158 69
"f" 1500 180 67
"m" 2500 145 65
"m" 1800 131 62
"m" 7000 175 72
"f" 3000 130 65
"f" 800 145 62
"m" 2700 192 71
"m" 1200 135 67
"f" 2400 130 62
"f" 1300 165 63
"f" 8000 102 61
"m" 500 130 72
"f" 2500 153 63
"m" 2800 240 66
"f" 800 125 64
"f" 1000 110 66
"f" 900 155 68
"f" 2000 150 60
"m" 1200 200 65
"f" 1500 130 65
"f" 2000 110 61
"f" 2800 134 64
"f" 26 140 66
"m" 3500 157 69
"f" 2600 165 66
"f" 2700 118 67
"f" 1400 180 68
"m" 3200 140 66
"f" 1000 112 69
"m" 700 190 69
"m" 2800 182 71
"m" 6000 250 74
"m" 1200 170 69
"f" 1500 200 75
"m" 1500 225 72
"f" 2600 120 64
"m" 2600 165 72
"f" 1872 108 63
"f" 1200 152 64
"m" 8000 210 70
"f" 4800 120 66
"m" 1800 135 62
"m" 8500 150 70
"f" 3500 175 64
"m" 500 150 69
"f" 900 140 64
"f" 3000 125 67
"f" 3500 124 65
"f" 1200 210 63
"m" 20000 190 70
"f" 400 128 64
"m" 200 165 68
"f" 2400 190 66
"m" 200 165 66
"f" 1 160 73
"m" 1500 185 70
"f" 600 150 62
"m" 500 150 66
"f" 150 130 66
"f" 2800 130 64
"f" 900 150 70
"m" 6000 175 74
"f" 140 185 62
"f" 700 180 66
"f" 2100 130 62
"m" 4400 107 69
"m" 2900 164 68
"m" 300 165 72
"m" 1200 140 64
"m" 2000 195 72
"f" 120 146 62
"m" 3700 215 74
"m" 800 150 66
"m" 3500 135 68
"m" 2500 110 62
"f" 3000 130 63
"m" 2000 165 69
"m" 1200 160 71
"f" 1000 125 66
"m" 1800 195 72
"m" 2000 181 72
"f" 3100 150 68
"m" 600 150 64
"m" 1200 150 70
"f" 1300 155 66
"f" 2600 210 67
"f" 1500 130 68
"f" 3000 140 64
"f" 200 122 65
"m" 500 150 70
"f" 5300 150 71
"f" 200 102 62
"m" 2500 155 71
"m" 500 185 74
"f" 2100 105 64
"f" 1700 130 70
"f" 1200 135 64
"m" 4200 230 70
"m" 2100 205 74
"f" 600 170 63
"m" 2500 190 74
"f" 300 119 66
"f" 360 150 65
"m" 400 155 71
"m" 2000 160 69
"m" 5200 220 60
"f" 6000 130 64
"f" 1500 122 64
"m" 9000 190 72
"f" 2600 180 61
"m" 200 140 69
"f" 1600 145 67
"f" 2400 130 65
"m" 1500 172 68
"m" 4200 170 74
"f" 1000 135 65
"m" 1700 220 71
"f" 3600 135 64
"m" 1000 190 72
"f" 2000 130 63
"f" 2400 110 65
"m" 1700 180 72
"f" 2300 137 65
"f" 2500 125 64
"m" 5000 200 71
"f" 2000 120 62
"f" 3000 145 66
"f" 700 190 64
"m" 700 120 67
"m" 3000 185 68
"f" 300 130 66
"f" 2000 145 66
"f" 4000 139 66
"m" 1000 150 67
"m" 1600 240 66
"f" 1100 225 63
"f" 1600 175 68
"m" 1800 185 70
"f" 1200 115 63
"m" 400 170 70
"m" 6000 195 72
"m" 4300 180 75
"f" 3100 180 62
"f" 5000 150 68
"f" 2700 165 68
"m" 3000 158 70
"m" 1200 195 73
"f" 2000 140 62
"f" 1500 120 60
"f" 2500 150 64
"f" 200 125 60
"m" 300 170 73
"f" 11000 130 66
"m" 5500 155 69
"m" 5800 170 70
"m" 1900 165 72
"f" 1500 120 61
"f" 800 130 64
"m" 6000 194 72
"m" 600 150 68
