subject	count_trial	count_subj	Global_trial_num	run_num	trial_time	resp_key	resp_time	trial_type	acc	currCity	priorCity	trialList	respList	curVidNav	tmn
S1_A	20	1	20	0	475.4397	s	493.3138	s	1	1	1	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_6.txt	t
S1_A	21	1	21	0	500.4663	d	512.238	d	1	3	1	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_6.txt	n
S1_A	22	1	22	0	525.4924	d	528.2604	s	0	3	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_7.txt	n
S1_A	23	1	23	0	550.5194	d	557.5384	s	0	3	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_8.txt	n
S1_A	24	1	24	0	575.5291	s	583.2322	s	1	3	3	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_9.txt	n
S1_A	25	1	25	0	600.5561	s	604.5909	d	0	2	3	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_7.txt	m
S1_A	26	1	1	1	0.03297603	nan	0	null	0	1	99	<,>,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_7.txt	t
S1_A	27	1	2	1	25.04298	d	28.41081	d	1	2	1	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_8.txt	m
S1_A	28	1	3	1	50.06957	s	57.63909	d	0	1	2	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_8.txt	t
S1_A	29	1	4	1	75.07948	d	80.73161	d	1	2	1	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_9.txt	m
S1_A	30	1	5	1	100.1062	d	106.3251	d	1	1	2	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_9.txt	t
S1_A	31	1	6	1	125.1159	s	145.0408	d	0	3	1	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_10.txt	n
S1_A	32	1	7	1	150.1426	s	163.531	s	1	3	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_11.txt	n
S1_A	33	1	8	1	175.1694	s	193.8264	d	0	1	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_10.txt	t
S1_A	34	1	9	1	200.1958	d	217.5196	s	0	1	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_11.txt	t
S1_A	35	1	10	1	225.2057	d	231.6081	s	0	1	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_12.txt	t
S1_A	36	1	11	1	250.2156	d	256.6515	d	1	2	1	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_10.txt	m
S1_A	37	1	12	1	275.2422	s	288.6305	s	1	2	2	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_11.txt	m
S1_A	38	1	13	1	300.2689	s	318.1927	s	1	2	2	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_12.txt	m
S1_A	39	1	14	1	325.279	s	343.9702	d	0	3	2	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_12.txt	n
S1_A	40	1	15	1	350.3059	s	356.1864	d	0	2	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_13.txt	m
S1_A	41	1	16	1	375.3325	d	379.0005	d	1	3	2	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_13.txt	n
S1_A	42	1	17	1	400.3589	d	408.0118	s	0	3	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_14.txt	n
S1_A	43	1	18	1	425.3685	s	432.571	d	0	1	3	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_13.txt	t
S1_A	44	1	19	1	450.395	d	455.5639	d	1	2	1	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_14.txt	m
S1_A	45	1	20	1	475.4216	s	478.5228	s	1	2	2	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_15.txt	m
S1_A	46	1	21	1	500.4486	d	508.4684	d	1	1	2	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_14.txt	t
S1_A	47	1	22	1	525.4586	s	541.031	s	1	1	1	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_15.txt	t
S1_A	48	1	23	1	550.485	d	563.8403	d	1	3	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_15.txt	n
S1_A	49	1	24	1	575.5122	d	582.7319	d	1	1	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_16.txt	t
S1_A	50	1	25	1	600.5393	s	613.6284	s	1	1	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_17.txt	t
S1_A	51	1	1	2	0.03394604	nan	0	null	0	3	99	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_16.txt	n
S1_A	52	1	2	2	25.05986	d	38.88217	d	1	2	3	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_16.txt	m
S1_A	53	1	3	2	50.1032	s	60.84098	d	0	3	2	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_17.txt	n
S1_A	54	1	4	2	75.12988	s	91.86978	d	0	1	3	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_18.txt	t
S1_A	55	1	5	2	100.1565	s	104.458	s	1	1	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_19.txt	t
S1_A	56	1	6	2	125.1831	d	142.5403	d	1	3	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_18.txt	n
S1_A	57	1	7	2	150.2095	s	160.7973	d	0	1	3	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_20.txt	t
S1_A	58	1	8	2	175.2197	d	181.9892	s	0	1	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_21.txt	t
S1_A	59	1	9	2	200.2462	d	205.682	d	1	3	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_19.txt	n
S1_A	60	1	10	2	225.2728	s	235.7606	s	1	3	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_20.txt	n
S1_A	61	1	11	2	250.2997	s	260.8541	s	1	3	3	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_21.txt	n
S1_A	62	1	12	2	275.3096	d	287.7149	s	0	3	3	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_22.txt	n
S1_A	63	1	13	2	300.3362	d	311.2077	d	1	1	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_22.txt	t
S1_A	64	1	14	2	325.363	s	344.9213	d	0	2	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_17.txt	m
S1_A	65	1	15	2	350.3901	d	358.3435	s	0	2	2	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_18.txt	m
S1_A	66	1	16	2	375.4004	d	383.0367	s	0	2	2	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_19.txt	m
S1_A	67	1	17	2	400.4268	d	408.1633	d	1	1	2	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_23.txt	t
S1_A	68	1	18	2	425.4533	s	437.6081	s	1	1	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_24.txt	t
S1_A	69	1	19	2	450.4797	s	458.2662	s	1	1	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_25.txt	t
S1_A	70	1	20	2	475.4898	d	482.4925	d	1	3	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_23.txt	n
S1_A	71	1	21	2	500.5163	s	509.9203	s	1	3	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_24.txt	n
S1_A	72	1	22	2	525.5435	d	539.9661	s	0	3	3	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_25.txt	n
S1_A	73	1	23	2	550.5708	s	557.0899	d	0	2	3	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_20.txt	m
S1_A	74	1	24	2	575.5804	d	590.2529	d	1	3	2	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_26.txt	n
S1_A	75	1	25	2	600.6064	d	606.7419	d	1	2	3	>,<,>	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_21.txt	m
S1_A	76	1	1	3	0.03325504	nan	0	null	0	1	99	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_26.txt	t
S1_A	77	1	2	3	25.05988	s	29.89518	s	1	1	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_27.txt	t
S1_A	78	1	3	3	50.08661	d	58.97333	d	1	2	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_22.txt	m
S1_A	79	1	4	3	75.11308	s	86.56771	s	1	2	2	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_23.txt	m
S1_A	80	1	5	3	100.123	s	105.4918	s	1	2	2	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_24.txt	m
S1_A	81	1	6	3	125.1495	d	130.8187	d	1	3	2	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_27.txt	n
S1_A	82	1	7	3	150.1762	d	165.7328	s	0	3	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_28.txt	n
S1_A	83	1	8	3	175.2031	d	176.6371	s	0	3	3	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_29.txt	n
S1_A	84	1	9	3	200.2131	s	202.6143	d	0	2	3	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_25.txt	m
S1_A	85	1	10	3	225.2397	s	232.7105	d	0	1	2	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_28.txt	t
S1_A	86	1	11	3	250.2664	s	256.1525	s	1	1	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_29.txt	t
S1_A	87	1	12	3	275.2929	s	292.2828	d	0	3	1	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_30.txt	n
S1_A	88	1	13	3	300.3026	s	305.8382	s	1	3	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_31.txt	n
S1_A	89	1	14	3	325.329	s	332.8988	d	0	2	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_26.txt	m
S1_A	90	1	15	3	350.3555	d	352.8236	d	1	1	2	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_30.txt	t
S1_A	91	1	16	3	375.3821	s	383.4017	d	0	2	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_27.txt	m
S1_A	92	1	17	3	400.3917	d	406.061	d	1	3	2	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_32.txt	n
S1_A	93	1	18	3	425.4182	d	434.3219	d	1	1	3	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_31.txt	t
S1_A	94	1	19	3	450.4448	d	467.4349	d	1	3	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_33.txt	n
S1_A	95	1	20	3	475.4718	s	478.9231	s	1	3	3	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_34.txt	n
S1_A	96	1	21	3	500.4816	s	512.1198	d	0	1	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_32.txt	t
S1_A	97	1	22	3	525.5091	s	541.0319	s	1	1	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_33.txt	t
S1_A	98	1	23	3	550.5355	d	556.338	s	0	1	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_34.txt	t
S1_A	99	1	24	3	575.5624	s	586.6167	s	1	1	1	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_35.txt	t
S1_A	100	1	25	3	600.5714	d	612.7765	d	1	3	1	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_35.txt	n
S3_A	1	2	1	0	0.03316098	nan	0	null	0	2	99	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_1.txt	m
S3_A	2	2	2	0	25.05981	s	33.3301	s	1	2	2	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_2.txt	m
S3_A	3	2	3	0	50.08651	d	64.29233	d	1	1	2	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_0.txt	t
S3_A	4	2	4	0	75.11301	d	85.16711	s	0	1	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_1.txt	t
S3_A	5	2	5	0	100.1396	s	112.0279	d	0	2	1	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_3.txt	m
S3_A	6	2	6	0	125.1497	s	141.056	s	1	2	2	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_4.txt	m
S3_A	7	2	7	0	150.1762	s	164.2664	s	1	2	2	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_5.txt	m
S3_A	8	2	8	0	175.2029	d	183.9398	d	1	3	2	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_0.txt	n
S3_A	9	2	9	0	200.2296	d	214.1854	d	1	2	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_6.txt	m
S3_A	10	2	10	0	225.2392	s	240.0788	s	1	2	2	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_7.txt	m
S3_A	11	2	11	0	250.266	s	269.4571	d	0	3	2	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_1.txt	n
S3_A	12	2	12	0	275.2927	s	292.2827	s	1	3	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_2.txt	n
S3_A	13	2	13	0	300.3197	d	304.3383	s	0	3	3	>,<,>	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_3.txt	n
S3_A	14	2	14	0	325.3296	s	336.0675	s	1	3	3	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_4.txt	n
S3_A	15	2	15	0	350.3561	d	363.0613	d	1	1	3	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_2.txt	t
S3_A	16	2	16	0	375.3832	nan	0	s	0	1	1	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_3.txt	t
S3_A	17	2	17	0	400.4099	d	406.0619	d	1	3	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_5.txt	n
S3_A	18	2	18	0	425.42	d	437.3913	d	1	1	3	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_4.txt	t
S3_A	19	2	19	0	450.4462	d	464.4517	s	0	1	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_5.txt	t
S3_A	20	2	20	0	475.4731	d	483.2758	s	0	1	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_6.txt	t
S3_A	21	2	21	0	500.4995	d	514.5636	d	1	3	1	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_6.txt	n
S3_A	22	2	22	0	525.5428	s	534.0129	s	1	3	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_7.txt	n
S3_A	23	2	23	0	550.5368	s	567.6944	s	1	3	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_8.txt	n
S3_A	24	2	24	0	575.5641	d	589.0861	s	0	3	3	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_9.txt	n
S3_A	25	2	25	0	600.5911	d	619.1268	d	1	2	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_8.txt	m
S3_A	26	2	1	1	0.03321701	nan	0	null	0	1	99	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_7.txt	t
S3_A	27	2	2	1	25.04328	d	37.28128	d	1	2	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_9.txt	m
S3_A	28	2	3	1	50.06979	nan	0	d	0	1	2	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_8.txt	t
S3_A	29	2	4	1	75.09657	d	81.31543	d	1	2	1	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_10.txt	m
S3_A	30	2	5	1	100.1231	s	106.1088	d	0	1	2	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_9.txt	t
S3_A	31	2	6	1	125.133	d	137.4212	d	1	3	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_10.txt	n
S3_A	32	2	7	1	150.1595	d	165.0987	s	0	3	3	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_11.txt	n
S3_A	33	2	8	1	175.1694	s	184.2896	d	0	1	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_10.txt	t
S3_A	34	2	9	1	200.1958	d	217.7994	s	0	1	1	<,<,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_11.txt	t
S3_A	35	2	10	1	225.2057	s	226.9731	s	1	1	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_12.txt	t
S3_A	36	2	11	1	250.2322	d	264.0212	d	1	2	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_11.txt	m
S3_A	37	2	12	1	275.2588	d	286.313	s	0	2	2	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_12.txt	m
S3_A	38	2	13	1	300.2852	d	317.6755	s	0	2	2	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_13.txt	m
S3_A	39	2	14	1	325.2951	d	335.899	d	1	3	2	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_12.txt	n
S3_A	40	2	15	1	350.3055	d	368.9285	d	1	2	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_14.txt	m
S3_A	41	2	16	1	375.3313	s	385.0543	d	0	3	2	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_13.txt	n
S3_A	42	2	17	1	400.358	s	415.4471	s	1	3	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_14.txt	n
S3_A	43	2	18	1	425.368	d	433.0042	d	1	1	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_13.txt	t
S3_A	44	2	19	1	450.3947	s	464.8168	d	0	2	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_15.txt	m
S3_A	45	2	20	1	475.4211	d	488.3763	s	0	2	2	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_16.txt	m
S3_A	46	2	21	1	500.4478	d	509.4015	d	1	1	2	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_14.txt	t
S3_A	47	2	22	1	525.4579	s	540.1639	s	1	1	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_15.txt	t
S3_A	48	2	23	1	550.4847	s	566.8412	d	0	3	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_15.txt	n
S3_A	49	2	24	1	575.5116	d	590.8008	d	1	1	3	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_16.txt	t
S3_A	50	2	25	1	600.5384	s	616.0944	s	1	1	1	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_17.txt	t
S3_A	51	2	1	2	0.03333098	nan	0	null	0	3	99	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_16.txt	n
S3_A	52	2	2	2	25.04334	nan	0	d	0	2	3	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_17.txt	m
S3_A	53	2	3	2	50.06994	s	67.2603	d	0	3	2	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_17.txt	n
S3_A	54	2	4	2	75.09644	d	85.16756	d	1	1	3	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_18.txt	t
S3_A	55	2	5	2	100.1234	d	115.2799	s	0	1	1	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_19.txt	t
S3_A	56	2	6	2	125.1498	s	144.4911	d	0	3	1	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_18.txt	n
S3_A	57	2	7	2	150.1598	d	161.4311	d	1	1	3	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_20.txt	t
S3_A	58	2	8	2	175.1862	s	183.1893	s	1	1	1	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_21.txt	t
S3_A	59	2	9	2	200.2131	d	218.3703	d	1	3	1	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_19.txt	n
S3_A	60	2	10	2	225.223	s	232.959	s	1	3	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_20.txt	n
S3_A	61	2	11	2	250.2492	s	265.7056	s	1	3	3	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_21.txt	n
S3_A	62	2	12	2	275.2595	s	290.0485	s	1	3	3	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_22.txt	n
S3_A	63	2	13	2	300.2859	d	311.9404	d	1	1	3	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_22.txt	t
S3_A	64	2	14	2	325.2957	s	338.7677	d	0	2	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_18.txt	m
S3_A	65	2	15	2	350.3225	d	362.8274	s	0	2	2	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_19.txt	m
